start	end	text
2444	6670	Да, мы готовы в этом ключе работать вместе.
6731	14302	Да, сейчас я расшарю.
14342	16706	Мстислав, вы первый, первый вопрос на вас.
16726	24398	Сейчас я расшариваю экран.
24458	25680	Видно?
25760	27122	Спасибо, да.
27462	29245	Добрый вечер.
29512	47655	Значит, я начну, раз у нас такой формат, да, действительно, значит, я как бы с общих моментов начну, да, с ответа на первый вопрос, вот, а далее коллеги уже там поправят, да, либо дополняют какие-то, если будут дополнительные, да, мнения.
48766	65712	Значит, в первую очередь, да, я что хочу сказать, вот эта вот проблема, она связана с тем, что у нас, к сожалению, недостаточное правовое регулирование, да, вот этого вот вопроса касаемо работы, функционирования подобных коттеджных поселков.
66248	83127	К сожалению, насколько я знаю, в том году были попытки принять закон соответствующий, но, насколько мне известно, там, может быть, коллеги дополнят меня или поправят, закон именно по коттеджным поселкам принят не был.
83168	87953	И в связи с этим подобные вопросы продолжают возникать.
88473	104398	Значит, при недостаточности у нас правового регулирования применяются в данном случае в основном положения общего и гражданского законодательства, в какой-то части жилищного законодательства и других моментов.
104418	115476	И судебная практика здесь имеет очень важное значение, потому что суды зачастую по-разному рассматривают подобные дела.
116198	132155	что как раз связано с тем, что закон четко не определяет, каким образом разрешать подобную проблему с восстановлением тарифов, в частности, с работой обслуживающей организации и так далее.
132215	137360	Значит, вопрос на самом деле довольно, так сказать, однотипный.
137400	145969	То есть они, конечно, разные моменты регулируют, но в целом они...
146303	158540	На них можно ответить, так сказать, общей одной фразой, практически с единой точки зрения.
158580	169915	Касаемо действий обслуживающей компании, мое мнение, я повторюсь, коллеги, может быть, дополняют, поправят мое мнение, что в данном случае здесь...
170806	186514	В любом случае идут договорные правоотношения, то есть односторонние подобные действия со стороны обслуживающей компании, я считаю, они недопустимы по увеличению тарифа и так далее.
186594	192645	Потому что у нас, в частности, законом установлено, что
194026	202093	В подобных случаях по общим нормам гражданского законодательства обязательно учитывается мнение второй стороны.
202314	205605	Здесь нет такого, что...
205923	216998	Компания вам предложила новые условия, новый договор, и вы обязаны заключать его именно на этих условиях, не шаг вправо, не шаг влево.
217739	219261	Разумеется, такого нет.
219321	232318	Вы правы предоставлять свои возражения, если вам предоставлен новый договор на заключение, в том числе касаемо его условий, тарифов и так далее.
232973	250510	Поэтому мое мнение здесь, что необходимо, соответственно, работать непосредственно с этой организацией изначально на досудебном порядке, то есть не обязательно сразу обращаться в суд, поскольку, во-первых, недостаточно данных для этого.
251587	258502	Во-вторых, нужно решить с тем, с чем будут возражать собственники.
258542	265377	Одно дело возражать чисто по вопросу изменения условий договора.
265778	276531	Второй момент – это уже касаемо экономической составляющей того тарифа по обслуживанию, который предлагается организации.
276571	285281	Потому что практически в соответствии с имеющейся судебной практикой эти все моменты, их тоже можно оспорить.
285321	294452	У нас практика судебная исходит из того, что человек, потребитель в подобном коттеджном поселке –
294753	307613	он оплачивает только те услуги, которые он практически потребил, то есть только те блага, которые на него распространяются.
307693	316607	Поэтому здесь организация обязана в обязательном порядке обосновать тот тариф, который они устанавливают.
317648	321334	И, соответственно, возвращаясь к тому, что я говорил в начале,
322124	331194	данные договорные отношения, они, естественно, подлежат согласованию второй стороной, да, то есть жителям коттеджного поселка.
331214	332575	Вот.
332676	343147	Ну, если по первому вопросу я тогда закончу, да, передам слово коллегам, вот, какие-то вопросы, дополнения, пожалуйста.
343167	351056	У юристов по этому первому вопросу.
351076	351456	Да.
353157	367045	Смотрите, повышение тарифа компании должно представить основания для его повышения.
367105	373377	Должны представить документ об изменении рыночной стоимости услуг.
373745	376830	на момент подписания договора.
376930	401288	Если нет такого документа, то подается претензия с нашей стороны, затем в суд подается исковое заявление о том, что требования об изменении тарифа незаконны, что вызовет не...
401926	407837	Обоснованное повышение, вернее, необоснованное обогащение.
408278	420441	Поэтому мое мнение, что здесь, прежде чем повышать тарифы, как указано в ваших новых договорах, люди должны обосновать.
420640	423023	свое повышение.
423083	430031	То есть представить какую-то смету, какое-то финансово-экономическое обоснование всех этих расходов.
430812	436098	Ну и рыночную цену, которая повысилась на данный момент.
436238	448572	Если это не представлено, а просто в договоре записана другая цифра, отличная от того, который в договоре заключали, я считаю, что это нужно обжаловать как
